version;base_model;F1_synthetic;F1_ground_truth;F1_OOD
1;roberta-base;0.95;0.93;0.81
1;roberta-large;0.97;0.96;0.73
1;modernbert-base;0.91;0.98;0.62
2;roberta-base;0.89;0.87;0.59
2;roberta-large;0.87;0.93;0.49
2;modernbert-base;0.88;0.86;0.73
3;roberta-base;0.93;0.90;0.75
3;roberta-large;0.80;0.94;0.48
3;modernbert-base;0.54;0.96;0.28
4;roberta-base;0.97;0.94;0.79
4;roberta-large;0.96;0.95;0.68
4;modernbert-base;0.94;0.93;0.71
5;roberta-base;0.75;0.85;0.58
5;roberta-large;0.76;0.91;0.47
5;modernbert-base;0.73;0.96;0.50
6;roberta-base;0.83;0.89;0.84
6;roberta-large;0.82;0.89;0.71
6;modernbert-base;0.81;0.90;0.55
7;roberta-base;0.84;0.91;0.77
7;roberta-large;0.81;0.89;0.69
7;modernbert-base;0.78;0.86;0.73
8;roberta-base;0.99;0.94;0.73
8;roberta-large;0.99;0.96;0.81
8;modernbert-base;0.94;0.94;0.60
9;roberta-base;0.99;0.77;0.79
9;roberta-large;0.98;0.76;0.77
9;modernbert-base;0.99;0.79;0.61
10;roberta-base;1;0.84;0.66
10;roberta-large;1;0.91;0.65
10;modernbert-base;0.99;0.85;0.60
11;roberta-base;1;0.81;0.79
11;roberta-large;0.99;0.87;0.71
11;modernbert-base;1;0.86;0.63
12;roberta-base;0.99;0.84;0.55
12;roberta-large;0.99;0.90;0.68
12;modernbert-base;0.99;0.88;0.53
13;roberta-base;0.93;0.80;0.49
13;roberta-large;0.94;0.83;0.59
13;modernbert-base;0.95;0.84;0.57
14;roberta-base;1;0.89;0.69
14;roberta-large;1;0.85;0.80
14;modernbert-base;0.98;0.81;0.69
;;;;
;;;;
