Model,,,Qwen3-0_6B,Qwen3-0_6B,Qwen3-4B,Qwen3-4B,Qwen3-8B,Qwen3-8B,Qwen3-14B,Qwen3-14B,Qwen3-32B,Qwen3-32B
Experiment,,,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy
Group,Probe,Dataset,,,,,,,,,,
a,LRProbe,c,-0.02,-0.02,-0.01,0.0,-0.01,-0.01,0.01,0.01,0.06,-0.01
a,LRProbe,cn,-0.02,-0.02,-0.01,0.0,-0.0,-0.0,-0.0,0.0,0.06,-0.02
a,LRProbe,g,0.08,0.02,-0.01,0.01,-0.01,0.0,0.01,0.01,0.03,0.05
a,LRProbe,gn,0.03,0.0,-0.02,0.01,-0.0,-0.0,-0.0,-0.0,0.05,0.0
a,LRProbe,hatecheck_balanced,0.02,0.0,-0.01,-0.01,0.0,0.0,0.01,0.02,-0.01,0.04
a,LRProbe,hatecheck_complex_balanced,-0.05,0.0,-0.05,0.0,-0.0,-0.0,0.0,0.02,-0.02,0.03
a,LRProbe,hatecheck_simple_balanced,-0.0,0.0,-0.01,0.01,-0.0,0.0,0.01,0.03,0.0,0.14
a,MMProbe,c,0.09,0.12,0.04,0.13,0.05,0.05,-0.0,0.07,-0.0,0.02
a,MMProbe,cn,0.06,0.06,-0.04,0.04,-0.03,0.01,-0.0,0.06,-0.01,0.02
a,MMProbe,g,0.22,0.22,0.18,0.37,0.01,0.16,0.01,0.75,-0.0,0.01
a,MMProbe,gn,0.05,0.18,0.05,0.2,-0.02,0.07,0.03,0.44,0.01,0.02
a,MMProbe,hatecheck_balanced,-0.22,0.06,-0.06,0.03,-0.07,0.01,0.02,0.04,0.01,0.22
a,MMProbe,hatecheck_complex_balanced,-0.12,0.05,-0.01,-0.02,-0.01,0.13,-0.04,0.55,0.0,0.04
a,MMProbe,hatecheck_simple_balanced,-0.22,0.03,-0.01,0.03,-0.01,0.01,0.03,0.07,0.02,0.05
b2,LRProbe,c,-0.02,0.0,-0.01,0.0,0.04,0.01,-0.01,-0.01,0.01,-0.0
b2,LRProbe,cn,0.03,0.0,-0.01,-0.0,0.02,0.0,0.01,0.01,-0.0,-0.01
b2,LRProbe,g,0.02,0.0,-0.02,0.0,0.11,0.03,0.02,0.04,-0.01,0.0
b2,LRProbe,gn,0.02,0.0,-0.06,-0.02,-0.02,-0.01,-0.01,-0.02,-0.03,-0.02
b2,LRProbe,hatecheck_balanced,0.02,0.0,0.04,0.01,0.04,0.03,0.04,0.06,0.04,0.03
b2,LRProbe,hatecheck_complex_balanced,0.15,0.06,0.18,0.19,0.21,1.17,0.13,0.18,0.11,0.18
b2,LRProbe,hatecheck_simple_balanced,0.08,0.02,0.08,0.04,0.21,0.0,0.16,0.29,0.2,0.11
b2,MMProbe,c,-0.0,0.03,-0.02,-0.01,0.05,0.04,0.03,0.11,0.08,0.08
b2,MMProbe,cn,-0.09,-0.05,-0.06,-0.03,0.04,-0.04,-0.01,0.03,0.04,0.02
b2,MMProbe,g,0.22,0.25,0.06,0.11,0.18,0.56,0.07,0.37,0.09,0.19
b2,MMProbe,gn,0.15,0.14,-0.03,-0.01,0.13,0.02,0.01,0.1,0.01,0.01
b2,MMProbe,hatecheck_balanced,0.29,0.22,0.15,1.19,0.03,1.53,0.01,0.98,0.07,0.67
b2,MMProbe,hatecheck_complex_balanced,0.11,0.29,-0.04,0.53,0.0,1.12,0.02,0.72,0.04,0.73
b2,MMProbe,hatecheck_simple_balanced,0.48,0.29,0.14,1.2,0.04,1.53,0.02,0.92,0.07,0.6
