Model,,,gemma-3-270m-it,gemma-3-270m-it,Qwen3-0_6B,Qwen3-0_6B,gemma-3-1b-it,gemma-3-1b-it,Qwen3-1_7B,Qwen3-1_7B,gemma-3-4b-it,gemma-3-4b-it,Qwen3-4B,Qwen3-4B,gemma-3-12b-it,gemma-3-12b-it,Qwen3-14B,Qwen3-14B,gemma-3-27b-it,gemma-3-27b-it
Experiment,,,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy
Group,Probe,Dataset,,,,,,,,,,,,,,,,,,
a,LRProbe,c,-0.2,0.23,-0.02,-0.02,0.12,-0.62,0.02,0.04,0.04,0.02,-0.01,0.0,0.04,-0.03,0.01,0.01,-0.04,-0.01
a,LRProbe,cn,0.01,0.12,-0.02,-0.02,0.17,-0.23,0.02,0.02,-0.01,0.01,-0.01,0.0,0.0,-0.02,-0.0,0.0,-0.0,-0.0
a,LRProbe,g,0.19,1.38,0.08,0.02,0.69,-0.4,0.02,0.04,0.09,0.07,-0.01,0.01,0.01,-0.0,0.01,0.01,-0.0,-0.07
a,LRProbe,gn,-0.33,0.71,0.03,0.0,0.1,-0.19,-0.0,0.01,0.1,0.06,-0.02,0.01,-0.01,-0.02,-0.0,-0.0,0.0,-0.01
a,LRProbe,hatecheck_balanced,-0.31,-0.08,0.02,0.0,0.19,0.54,-0.0,-0.0,0.12,-0.19,-0.01,-0.01,0.02,0.0,0.01,0.02,-0.05,-0.03
a,LRProbe,hatecheck_complex_balanced,-1.04,0.04,-0.05,0.0,0.17,-1.06,0.02,-0.0,0.13,-0.27,-0.05,0.0,0.01,-0.1,0.0,0.02,-0.01,-0.08
a,LRProbe,hatecheck_simple_balanced,-0.36,0.25,-0.0,0.0,-0.38,-0.42,-0.02,-0.02,0.05,-0.1,-0.01,0.01,0.07,-0.08,0.01,0.03,-0.1,-0.02
a,MMProbe,c,-0.16,0.25,0.09,0.12,0.15,0.54,0.15,-0.04,0.23,0.28,0.04,0.13,0.07,-0.13,-0.0,0.07,-0.14,0.01
a,MMProbe,cn,-0.16,1.57,0.06,0.06,0.21,0.52,0.13,-0.06,0.22,0.3,-0.04,0.04,0.07,-0.07,-0.0,0.06,-0.08,-0.02
a,MMProbe,g,0.07,0.08,0.22,0.22,0.52,0.23,0.24,0.17,0.11,-0.28,0.18,0.37,0.12,0.03,0.01,0.75,-0.29,-0.07
a,MMProbe,gn,-0.31,0.42,0.05,0.18,0.06,-0.23,0.2,0.09,0.15,-0.35,0.05,0.2,0.1,-0.09,0.03,0.44,-0.15,-0.04
