Model,,,gemma-3-270m-it,gemma-3-270m-it,Qwen3-0_6B,Qwen3-0_6B,gemma-3-4b-it,gemma-3-4b-it,Qwen3-4B,Qwen3-4B
Experiment,,,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy,healthy_to_toxic,toxic_to_healthy
Group,Probe,Dataset,,,,,,,,
a,LRProbe,c,0.39,-4.0,-0.07,-0.07,-0.41,0.05,0.0,-0.02
a,LRProbe,cn,-0.56,-3.11,-0.04,-0.04,-0.17,-0.01,0.0,-0.0
a,LRProbe,g,1.61,-7.0,0.04,0.14,0.19,0.02,-0.0,0.05
a,LRProbe,gn,0.78,-5.22,0.07,0.11,0.09,0.17,0.0,0.02
a,LRProbe,hatecheck_balanced,1.06,-0.0,0.14,0.18,0.22,0.63,-0.0,0.03
a,LRProbe,hatecheck_complex_balanced,1.39,1.94,-0.04,0.14,-0.13,0.77,-0.0,-0.11
a,LRProbe,hatecheck_simple_balanced,1.89,-0.89,0.07,0.14,-0.0,0.09,-0.0,0.03
a,MMProbe,c,0.17,-6.89,-0.04,1.11,-1.47,0.18,0.02,0.41
a,MMProbe,cn,1.5,-14.11,-0.18,0.54,-1.21,0.14,0.01,0.25
a,MMProbe,g,0.83,-0.0,0.68,1.43,-0.92,-0.02,0.08,0.52
a,MMProbe,gn,1.67,-5.56,-0.0,1.14,-0.2,-0.11,0.03,0.37
a,MMProbe,hatecheck_balanced,1.67,-1.56,-0.43,0.75,-0.42,1.14,0.01,0.16
a,MMProbe,hatecheck_complex_balanced,-2.33,-5.56,0.11,-0.86,-1.31,4.08,0.03,0.35
a,MMProbe,hatecheck_simple_balanced,4.11,-9.56,-0.14,0.82,-0.25,0.55,0.01,0.16
b1,LRProbe,c,-0.5,-0.72,0.14,0.14,-0.08,-0.05,0.0,-0.01
b1,LRProbe,cn,0.28,0.22,0.39,0.36,-0.02,-0.01,-0.0,-0.07
b1,LRProbe,g,0.22,1.0,0.5,0.64,-0.12,0.06,0.01,0.2
b1,LRProbe,gn,0.39,0.5,0.32,0.0,-0.01,-0.01,-0.0,0.04
b1,LRProbe,hatecheck_balanced,0.22,0.28,-0.21,-0.29,-0.14,0.05,0.01,0.31
b1,LRProbe,hatecheck_complex_balanced,-3.0,-4.56,0.68,-0.04,-0.12,0.15,0.05,1.0
b1,LRProbe,hatecheck_simple_balanced,0.67,1.72,-0.0,-0.18,0.05,0.12,0.03,0.33
b1,MMProbe,c,-1.39,1.67,0.11,-0.75,-0.01,-0.03,0.04,0.17
b1,MMProbe,cn,-0.28,1.28,-0.04,-1.04,-0.02,-0.07,0.02,-0.31
b1,MMProbe,g,-0.83,1.0,0.32,0.79,-0.0,0.19,0.05,0.83
b1,MMProbe,gn,0.28,0.44,0.11,0.39,-0.07,0.04,0.03,0.3
b1,MMProbe,hatecheck_balanced,-1.89,-1.5,1.0,0.79,0.22,0.62,0.15,1.01
b1,MMProbe,hatecheck_complex_balanced,-1.39,-0.22,-0.21,0.04,-0.03,0.47,0.02,0.68
b1,MMProbe,hatecheck_simple_balanced,1.33,1.61,1.61,0.39,-0.09,0.46,0.13,1.01
b2,LRProbe,c,0.0,-0.0,0.07,-0.04,0.1,0.2,-0.0,-0.0
